analysis,recovery_fraction,clean_tolerance,atr_quantile,smpr_margin,proxy_variant,task,fragile_median_atr,recovered_median_atr,fragile_median_smpr,recovered_median_smpr,atr_direction_pass,smpr_direction_pass,num_fragile,num_recovered,status,notes
recovery_threshold_clean_tolerance,0.7,3.0,q90,delta0,q50_margin_minus_2q90_drift,TwoRoom,1.0,0.12309885175855226,0.31147539615631104,0.9836065173149109,true,true,3,24,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.7,3.0,q90,delta0,q50_margin_minus_2q90_drift,PushT,0.7838013516222393,0.10738659020934516,0.7806122004985809,1.0,true,true,8,19,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.7,3.0,q90,delta0,q50_margin_minus_2q90_drift,Reacher,1.0,0.03749845365687284,0.8799999952316284,0.9949999749660492,true,true,7,20,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.7,3.0,q90,delta0,q50_margin_minus_2q90_drift,Cube,0.7712415441221675,0.08071440672879812,0.9099999666213989,1.0,true,true,11,16,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.7,5.0,q90,delta0,q50_margin_minus_2q90_drift,TwoRoom,1.0,0.12309885175855226,0.31147539615631104,0.9836065173149109,true,true,3,24,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.7,5.0,q90,delta0,q50_margin_minus_2q90_drift,PushT,0.7838013516222393,0.10738659020934516,0.7806122004985809,1.0,true,true,8,19,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.7,5.0,q90,delta0,q50_margin_minus_2q90_drift,Reacher,1.0,0.03749845365687284,0.8799999952316284,0.9949999749660492,true,true,7,20,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.7,5.0,q90,delta0,q50_margin_minus_2q90_drift,Cube,0.802793163317111,0.07260029289129998,0.8649999797344208,1.0,true,true,10,17,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.7,10.0,q90,delta0,q50_margin_minus_2q90_drift,TwoRoom,1.0,0.12309885175855226,0.31147539615631104,0.9836065173149109,true,true,3,24,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.7,10.0,q90,delta0,q50_margin_minus_2q90_drift,PushT,0.8445085339264151,0.12032586294531875,0.714285671710968,1.0,true,true,7,20,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
